2,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
15,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150101,201501,DW-1301010076,散称,联营商品,kg,0.001,0.02,20,否
10,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050011,散称,生鲜,千克,0.573,3.76,6.56,否
52,20,粮油,2007,南北干货,200706,红枣,20150101,201501,DW-2007060065,散称,一般商品,kg,0.308,6.09,37.8,是
41,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010005,散称,生鲜,千克,0.58,3.36,5.8,否
47,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010001,散称,一般商品,千克,1.084,21.46,19.8,否
30,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010221,散称,生鲜,KG,0.608,9.72,15.98,否
31,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150101,201501,DW-2013060014,180g,一般商品,袋,1,2,2,否
1,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010023,散称,生鲜,千克,0.91,2.33,2.56,否
47,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010029,散称,生鲜,千克,0.416,1.06,2.56,否
59,20,粮油,2007,南北干货,200709,粉丝/条,20150101,201501,DW-2007090045,散称,一般商品,kg,0.534,3.63,6.8,否
60,20,粮油,2008,调味料,200805,香辛粉,20150101,201501,DW-2008050066,40g,一般商品,袋,1,3.9,3.9,否
15,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,1.038,7.04,6.78,否
39,20,粮油,2014,酱菜类,201404,蔬菜,20150101,201501,DW-2014040202,120g,一般商品,袋,1,2.7,2.7,否
38,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010296,散称,生鲜,KG,0.439,1.66,10,否
43,22,休闲,2208,口香糖,220801,无糖口香糖,20150101,201501,DW-2208010003,56g,一般商品,瓶,1,10.4,10.4,否
60,22,休闲,2205,炒货,220513,香瓜子,20150101,201501,DW-2205130016,160g,一般商品,袋,1,4.5,5.9,是
17,15,日配,1518,常温乳品,151806,利乐枕加味奶,20150101,201501,DW-1518060018,230ml,一般商品,袋,3,8.4,2.8,否
48,23,酒饮,2304,茶饮料,230401,红茶,20150101,201501,DW-2304010004,500ml,一般商品,瓶,1,1.9,2.5,是
45,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040043,散称,生鲜,千克,0.214,1.93,9,否
51,23,酒饮,2302,纯果汁,230299,其他纯果汁,20150101,201501,DW-2302990025,200ml,一般商品,盒,1,4,4,否
34,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030161,散称,生鲜,KG,1.518,24.23,15.96,否
54,22,休闲,2204,蜜饯,220401,葡萄干,20150101,201501,DW-2204010041,kg,一般商品,散称,0.44,8.7,35.8,是
49,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020029,散称,生鲜,千克,0.626,2.48,3.96,否
49,12,蔬果,1203,水果,120309,进口水果,20150101,201501,DW-1203090216,散称,生鲜,KG,0.456,7.25,15.9,否
22,11,水产,1103,干货水产,110302,干货虾蟹贝类,20150101,201501,DW-1103020061,散称,生鲜,千克,0.768,23.04,30,否
45,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020040,散称,生鲜,千克,0.872,1.71,1.96,否
35,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010043,散称,一般商品,千克,1.212,10.3,8.5,否
35,22,休闲,2201,饼干,220101,苏打,20150101,201501,DW-2201010017,100g,一般商品,袋,1,4.9,4.9,否
35,22,休闲,2201,饼干,220101,苏打,20150101,201501,DW-2201010018,125g,一般商品,袋,1,5.7,5.7,否
55,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020125,4片,一般商品,包,1,7.5,8.7,是
9,22,休闲,2201,饼干,220111,趣味/休闲,20150101,201501,DW-2201110152,50g,一般商品,盒,1,6,6,否
52,22,休闲,2201,饼干,220103,威化,20150101,201501,DW-2201030082,散称,一般商品,KG,0.144,2.27,19.8,是
11,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.851,2.2,2.58,否
34,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,1.028,2.65,2.58,否
34,33,文体,3321,学生用品,332102,修正液/带,20150101,201501,DW-3321020067,8103,一般商品,卡,1,4.7,4.7,否
48,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020040,散称,生鲜,千克,0.662,1.3,1.96,否
54,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020361,散称,生鲜,kg,0.706,39.54,56,否
19,30,洗化,3016,纸制品,301603,无芯纸,20150101,201501,DW-3016030107,83g*12卷,一般商品,提,1,11.5,15.9,是
12,30,洗化,3016,纸制品,301608,软抽纸巾,20150101,201501,DW-3016080114,200抽*3,一般商品,提,1,6.9,9.7,是
55,30,洗化,3006,洗衣用品,300601,洗衣粉,20150101,201501,DW-3006010021,1.8kg,一般商品,袋,1,19.9,19.9,否
22,30,洗化,3016,纸制品,301606,手帕纸,20150101,201501,DW-3016060004,10包,一般商品,条,1,4.5,5.9,是
30,23,酒饮,2316,香烟,231601,国产省内香烟,20150101,201501,DW-2316010015,20支,一般商品,包,1,15,15,否
44,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040027,散称,生鲜,千克,0.456,4.54,9.96,否
31,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150101,201501,DW-1202048059,散称,生鲜,千克,0.08,0.62,7.76,否
47,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150101,201501,DW-1505030026,260g,一般商品,盒,3,17.7,8.9,是
44,10,肉禽,1001,猪肉,100101,鲜猪肉,20150101,201501,DW-1001010194,散称,生鲜,千克,0.27,8.05,29.8,否
19,12,蔬果,1203,水果,120309,进口水果,20150101,201501,DW-1203090210,散称,生鲜,KG,1.262,22.21,17.6,否
20,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020008,散称,生鲜,千克,0.206,1.19,5.8,否
53,20,粮油,2011,液体调料,201104,其他酱油,20150101,201501,DW-2011040017,500ml,一般商品,瓶,1,9.9,12.9,是
20,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010029,散称,生鲜,千克,0.574,1.47,2.56,否
21,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010290,散称,生鲜,KG,0.998,2,2,否
57,30,洗化,3016,纸制品,301603,无芯纸,20150101,201501,DW-3016030114,170g2卷,一般商品,卷,1,6.9,6.9,否
29,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020125,4片,一般商品,包,1,7.5,8.7,是
60,20,粮油,2008,调味料,200805,香辛粉,20150101,201501,DW-2008050016,10g,一般商品,袋,1,2,2,否
61,13,熟食,1308,现制中式面点,130801,现制蒸类,20150101,201501,DW-1308010191,散称,生鲜,千克,0.465,2.79,6,否
33,21,冲调,2105,冲调食品,210503,芝麻糊,20150101,201501,DW-2105030025,560g,一般商品,袋,1,23.3,23.3,否
62,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020166,散称,生鲜,KG,1.868,33.25,17.8,否
44,22,休闲,2201,饼干,220108,粗粮/蔬菜,20150101,201501,DW-2201080052,50g,一般商品,袋,1,1.5,1.5,否
32,30,洗化,3007,洗浴用品,300701,香皂,20150101,201501,DW-3007010254,115g,一般商品,块,1,3.9,4.7,是
2,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030177,散称,生鲜,KG,1.842,5.86,3.18,否
21,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.496,1.28,2.58,否
60,12,蔬果,1201,蔬菜,120103,芽菜,20150101,201501,DW-1201030002,散称,生鲜,千克,0.443,1.23,2.78,否
51,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020125,4片,一般商品,包,1,7.5,8.7,是
3,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020172,散称,生鲜,KG,0.504,6.04,11.98,否
58,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010395,散称,生鲜,Kg,0.652,3.91,6,否
58,15,日配,1508,冷冻点心,150802,冷冻年糕,20150101,201501,DW-1508020001,400g,一般商品,袋,1,6.7,6.7,否
58,15,日配,1515,冷冻火锅类,151503,火锅丸类,20150101,201501,DW-1515030007,散称,一般商品,千克,0.398,10.26,32.6,是
36,20,粮油,2006,五谷杂粮,200607,杂粮,20150101,201501,DW-2006070076,散称,一般商品,千克,1.004,9.9,9.9,否
36,30,洗化,3018,卫生巾,301801,日用卫生巾,20150101,201501,DW-3018010298,8片,一般商品,包,1,6.5,7.7,是
15,20,粮油,2006,五谷杂粮,200602,袋装白米,20150101,201501,DW-2006020026,5kg,一般商品,袋,1,39.9,39.9,否
6,15,日配,1521,蛋类,152104,咸蛋,20150101,201501,DW-1521040033,散称,一般商品,千克,0.774,14.71,19,否
50,22,休闲,2208,口香糖,220801,无糖口香糖,20150101,201501,DW-2208010086,23.8g,一般商品,瓶,1,9.9,9.9,否
2,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020043,散称,生鲜,千克,0.598,1.08,1.8,否
17,15,日配,1501,冷藏肉制品,150103,块状火腿,20150101,201501,DW-1501030002,250g,一般商品,块,1,4.9,5.7,是
14,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020017,散称,生鲜,千克,1.173,3,2.56,否
10,20,粮油,2014,酱菜类,201404,蔬菜,20150101,201501,DW-2014040135,80g,一般商品,袋,5,7,1.7,是
26,21,冲调,2101,奶粉,210107,全脂奶粉,20150101,201501,DW-2101070015,300g,一般商品,袋,1,19.9,19.9,否
35,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,2.44,16.54,6.78,否
35,20,粮油,2008,调味料,200809,淀/酵/碱粉,20150101,201501,DW-2008090024,200g,一般商品,袋,1,2.9,2.9,否
12,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010019,散称,生鲜,千克,2.862,5.61,1.96,否
24,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010006,散称,生鲜,千克,0.252,3.02,12,否
24,22,休闲,2202,糕点,220299,其他糕点,20150101,201501,DW-2202990142,56g,一般商品,盒,1,6.9,6.9,否
44,20,粮油,2001,袋装速食面,200101,牛肉口味,20150101,201501,DW-2001010004,121g,一般商品,袋,1,2.5,2.5,否
44,20,粮油,2001,袋装速食面,200105,干脆面,20150101,201501,DW-2001050010,25g,一般商品,袋,1,0.5,0.5,否
31,22,休闲,2205,炒货,220513,香瓜子,20150101,201501,DW-2205130090,散称,一般商品,kg,0.186,3.16,17,否
43,30,洗化,3002,浴厕厨清洁剂,300206,餐具清洁剂,20150101,201501,DW-3002060118,408g,一般商品,瓶,1,3.9,3.9,否
21,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020018,散称,生鲜,千克,0.312,1.74,5.56,否
56,12,蔬果,1203,水果,120307,蕉类,20150101,201501,DW-1203070023,散称,生鲜,KG,1.878,18.74,9.98,否
56,20,粮油,2014,酱菜类,201404,蔬菜,20150101,201501,DW-2014040043,375g,一般商品,瓶,1,8.2,8.2,否
56,22,休闲,2202,糕点,220208,散称糕点,20150101,201501,DW-2202080022,散称,一般商品,KG,0.372,5.88,15.8,否
9,23,酒饮,2303,果汁饮料,230399,其他果汁饮料,20150101,201501,DW-2303990061,445ml,一般商品,瓶,1,4.5,4.5,否
52,22,休闲,2202,糕点,220208,散称糕点,20150101,201501,DW-2202080028,散称,一般商品,KG,0.144,2.24,25.8,是
11,12,蔬果,1203,水果,120306,桃/李类,20150101,201501,DW-1203060094,散称,生鲜,KG,0.348,3.47,9.96,否
16,23,酒饮,2305,净水,230502,国产矿水,20150101,201501,DW-2305020019,348ml,一般商品,瓶,2,4,2,否
35,20,粮油,2008,调味料,200809,淀/酵/碱粉,20150101,201501,DW-2008090027,20g,一般商品,袋,1,1.3,1.3,否
23,22,休闲,2202,糕点,220299,其他糕点,20150101,201501,DW-2202990104,162g,一般商品,袋,1,5.3,5.3,否
57,21,冲调,2103,咖啡,210301,咖啡,20150101,201501,DW-2103010108,15g*7,一般商品,盒,1,9.9,9.9,否
37,23,酒饮,2309,啤酒,230901,国产黄啤,20150101,201501,DW-2309010115,9%580ml,一般商品,瓶,4,10,2.5,否
46,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010288,散称,生鲜,KG,1.32,13.17,14.99,否
10,22,休闲,2202,糕点,220201,派,20150101,201501,DW-2202010005,25g*6,一般商品,盒,1,9.9,9.9,否
24,20,粮油,2011,液体调料,201106,陈醋,20150101,201501,DW-2011060003,380mL,一般商品,袋,1,1.7,1.7,否
58,34,针织,3412,毯子,341206,双人电热毯,20150101,201501,DW-3412060053,150*120,一般商品,条,1,59.9,69,是
44,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050011,散称,生鲜,千克,0.44,2.89,6.56,否
21,12,蔬果,1202,加工豆类,120201,豆腐,20150101,201501,DW-1202018073,散称,生鲜,千克,0.402,1.19,2.96,否
63,30,洗化,3013,口腔卫生用品,301303,成人牙刷,20150101,201501,DW-3013030328,软毛第二,一般商品,支,1,14.9,14.9,否
44,22,休闲,2202,糕点,220208,散称糕点,20150101,201501,DW-2202080013,散称,一般商品,kg,0.086,1.7,31.8,是
31,12,蔬果,1202,加工豆类,120205,豆类料理,20150101,201501,DW-1202058082,散称,生鲜,kg,0.082,2.23,27.2,否
31,23,酒饮,2312,黄酒,231201,普通黄酒,20150101,201501,DW-2312010032,555ml,一般商品,瓶,1,12.9,12.9,否
43,30,洗化,3006,洗衣用品,300602,洗衣液,20150101,201501,DW-3006020024,1kg,一般商品,瓶,1,19.7,19.7,否
21,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020045,散称,生鲜,千克,0.45,3.42,7.6,否
27,22,休闲,2204,蜜饯,220405,山楂,20150101,201501,DW-2204050120,散称,一般商品,kg,0.382,9.8,25.8,否
27,30,洗化,3002,浴厕厨清洁剂,300202,洁厕剂,20150101,201501,DW-3002020018,900g,一般商品,瓶,1,9.9,9.9,否
34,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,1.014,6.87,6.78,否
35,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150101,201501,DW-2002010085,120g*5,一般商品,组,1,22.5,22.5,否
35,20,粮油,2008,调味料,200809,淀/酵/碱粉,20150101,201501,DW-2008090015,15g,一般商品,袋,1,1.3,1.3,否
36,20,粮油,2006,五谷杂粮,200608,杂粮粉,20150101,201501,DW-2006080030,散称,一般商品,公斤,1.004,4.42,4.4,否
9,22,休闲,2206,即食熟制品,220601,牛肉干,20150101,201501,DW-2206010014,40g,一般商品,袋,1,11.9,11.9,否
19,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020172,散称,生鲜,KG,1.236,14.81,11.98,否
46,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010288,散称,生鲜,KG,1.406,21.08,14.99,否
11,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040027,散称,生鲜,千克,0.648,6.45,9.96,否
47,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040026,散称,生鲜,千克,0.39,0.77,1.98,否
44,30,洗化,3016,纸制品,301608,软抽纸巾,20150101,201501,DW-3016080218,200抽*6,一般商品,提,1,15.9,19.9,是
31,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010018,散称,生鲜,千克,0.244,2.93,12,否
49,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020172,散称,生鲜,KG,1.108,13.27,11.98,否
64,12,蔬果,1203,水果,120313,其它水果,20150102,201501,DW-1203130446,散称,生鲜,KG,0.536,16.08,30,否
65,20,粮油,2014,酱菜类,201401,榨菜,20150102,201501,DW-2014010021,70g,一般商品,袋,1,0.9,0.9,否
66,21,冲调,2104,冲饮品,210402,奶茶饮品,20150102,201501,DW-2104020026,80g,一般商品,杯,1,3,3,否
67,30,洗化,3016,纸制品,301603,无芯纸,20150102,201501,DW-3016030086,40±2张,一般商品,包,4,6.8,1.7,否
68,10,肉禽,1001,猪肉,100101,鲜猪肉,20150102,201501,DW-1001010194,散称,生鲜,千克,0.77,22.95,29.8,否
68,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060003,散称,生鲜,千克,0.5,3.28,6.56,否
68,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150102,201501,DW-1517010003,60g*10,一般商品,袋,1,16.3,16.3,否
69,22,休闲,2203,膨化点心,220303,罐装薯片,20150102,201501,DW-2203030078,110g*2,一般商品,罐,1,17.9,17.9,否
70,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060003,散称,生鲜,千克,0.198,1.3,6.56,否
71,12,蔬果,1201,蔬菜,120103,芽菜,20150102,201501,DW-1201030018,散称,生鲜,kg,0.556,0.82,1.48,否
72,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150102,201501,DW-1301010076,散称,联营商品,kg,0.546,10.92,20,否
73,30,洗化,3016,纸制品,301608,软抽纸巾,20150102,201501,DW-3016080119,200抽*3,一般商品,提,1,8.5,8.9,是
68,23,酒饮,2314,进口酒,231404,预调酒,20150102,201501,DW-2314040069,275ml,联营商品,瓶,1,10.5,10.5,否
70,20,粮油,2003,桶杯装速食面,200301,牛肉口味,20150102,201501,DW-2003010038,142g,一般商品,桶,1,3.9,5.5,是
74,15,日配,1501,冷藏肉制品,150199,其它肠类,20150102,201501,DW-1501990010,300g,一般商品,根,1,12.9,12.9,否
74,22,休闲,2208,口香糖,220801,无糖口香糖,20150102,201501,DW-2208010050,40粒,一般商品,瓶,1,10.9,10.9,否
74,22,休闲,2208,口香糖,220801,无糖口香糖,20150102,201501,DW-2208010066,95g,一般商品,瓶,1,16,16,否
75,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040027,散称,生鲜,千克,0.69,6.87,9.96,否
68,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150102,201501,DW-2002010085,120g*5,一般商品,组,1,22.5,22.5,否
68,21,冲调,2105,冲调食品,210501,麦片/粉,20150102,201501,DW-2105010144,400g,一般商品,袋,1,13.9,13.9,否
68,22,休闲,2203,膨化点心,220302,袋装薯片,20150102,201501,DW-2203020024,70g,一般商品,包,1,5.9,5.9,否
76,22,休闲,2204,蜜饯,220405,山楂,20150102,201501,DW-2204050022,200g,一般商品,袋,1,7.5,7.5,否
71,12,蔬果,1202,加工豆类,120201,豆腐,20150102,201501,DW-1202018073,散称,生鲜,千克,0.565,1.67,2.96,否
74,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150102,201501,DW-1517010003,60g*10,一般商品,袋,1,16.3,16.3,否
77,22,休闲,2201,饼干,220111,趣味/休闲,20150102,201501,DW-2201110194,12.8g,一般商品,代　,1,6.3,6.3,否
77,22,休闲,2203,膨化点心,220301,米制点心,20150102,201501,DW-2203010099,60g,一般商品,袋,1,5.9,5.9,否
78,31,家居,3118,打扫用品,311801,手套,20150102,201501,DW-3118010004,M,一般商品,副,1,8,8,否
79,20,粮油,2007,南北干货,200706,红枣,20150102,201501,DW-2007060065,散称,一般商品,kg,0.28,5.5,37.8,是
80,22,休闲,2208,口香糖,220801,无糖口香糖,20150102,201501,DW-2208010003,56g,一般商品,瓶,1,10.4,10.4,否
81,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040049,散称,生鲜,千克,1.638,9.5,5.8,否
65,20,粮油,2014,酱菜类,201401,榨菜,20150102,201501,DW-2014010015,60g,一般商品,袋,1,0.5,0.5,否
66,30,洗化,3013,口腔卫生用品,301301,成人牙膏,20150102,201501,DW-3013010073,130g,一般商品,支,1,9.9,9.9,否
82,10,肉禽,1001,猪肉,100101,鲜猪肉,20150102,201501,DW-1001010191,散称,生鲜,千克,0.46,13.71,29.8,否
82,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060002,散称,生鲜,千克,0.446,8.03,18,否
83,20,粮油,2009,盐/糖,200902,功能盐,20150102,201501,DW-2009020012,400g,一般商品,袋,1,2.3,2.3,否
84,15,日配,1508,冷冻点心,150801,冷冻面食,20150102,201501,DW-1508010015,400g,一般商品,袋,1,10.3,10.3,否
85,22,休闲,2202,糕点,220201,派,20150102,201501,DW-2202010039,23g*6,一般商品,盒,1,11.5,11.5,否
68,20,粮油,2003,桶杯装速食面,200301,牛肉口味,20150102,201501,DW-2003010017,50g,一般商品,杯,1,3.7,3.7,否
86,22,休闲,2212,无糖食品,221202,无糖休闲食品,20150102,201501,DW-2212020336,800g,一般商品,盒,1,28,28,否
87,22,休闲,2205,炒货,220513,香瓜子,20150102,201501,DW-2205130018,90g,一般商品,袋,1,3,3,否
3,12,蔬果,1202,加工豆类,120201,豆腐,20150102,201501,DW-1202018267,块,生鲜,块,2,3,1.5,否
77,22,休闲,2203,膨化点心,220399,其他膨化点心,20150102,201501,DW-2203990008,70g,一般商品,袋,1,3.3,3.3,否
88,12,蔬果,1203,水果,120309,进口水果,20150102,201501,DW-1203090210,散称,生鲜,KG,0.598,10.52,17.6,否
89,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150102,201501,DW-2013060012,400g,一般商品,袋,1,3.7,3.7,否
90,22,休闲,2208,口香糖,220802,有糖口香糖,20150102,201501,DW-2208020068,40粒,一般商品,瓶,1,9.7,9.7,否
69,22,休闲,2210,果冻,221003,杯装果冻,20150102,201501,DW-2210030037,32g*6,一般商品,杯,1,5.9,5.9,否
91,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060093,计量,生鲜,袋,1,5.5,5.5,否
63,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010004,散称,生鲜,千克,0.366,2.05,5.6,否
92,12,蔬果,1203,水果,120313,其它水果,20150102,201501,DW-1203130341,散称,生鲜,KG,0.93,9.28,9.98,否
93,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020017,散称,生鲜,千克,1.006,2.58,2.56,否
83,20,粮油,2001,袋装速食面,200105,干脆面,20150102,201501,DW-2001050028,70g,一般商品,袋,1,3.5,3.5,否
94,30,洗化,3011,保养用品,301101,护肤用品,20150102,201501,DW-3011010757,200ml,一般商品,瓶,1,40,40,否
76,20,粮油,2011,液体调料,201101,老抽酱油,20150102,201501,DW-2011010027,500mL,一般商品,瓶,1,7.9,7.9,否
95,20,粮油,2011,液体调料,201111,料酒,20150102,201501,DW-2011110006,480ml,一般商品,瓶,1,6.7,6.7,否
65,12,蔬果,1201,蔬菜,120105,鲜调味,20150102,201501,DW-1201050011,散称,生鲜,千克,0.693,4.55,6.56,否
96,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150102,201501,DW-1202048078,散称,生鲜,千克,0.364,1.82,5,否
83,15,日配,1501,冷藏肉制品,150105,肉类,20150102,201501,DW-1501050038,180g,一般商品,袋,1,4.9,4.9,否
97,22,休闲,2206,即食熟制品,220605,鱼类,20150102,201501,DW-2206050106,14g,一般商品,袋,1,1,1,否
98,22,休闲,2205,炒货,220514,西瓜子,20150102,201501,DW-2205140048,132g,一般商品,袋,1,7.9,7.9,否
82,12,蔬果,1203,水果,120313,其它水果,20150102,201501,DW-1203130353,散称,生鲜,KG,0.56,6.71,11.98,否
99,15,日配,1515,冷冻火锅类,151503,火锅丸类,20150102,201501,DW-1515030007,散称,一般商品,千克,0.562,14.46,32.6,是
100,12,蔬果,1203,水果,120301,柑桔柚类,20150102,201501,DW-1203010213,散称,生鲜,KG,1.512,13.61,9,否
101,30,洗化,3018,卫生巾,301801,日用卫生巾,20150102,201501,DW-3018010145,10片,一般商品,包,1,8.9,8.9,否
102,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040042,散称,生鲜,千克,0.28,2.18,7.8,否
77,22,休闲,2201,饼干,220111,趣味/休闲,20150102,201501,DW-2201110132,56g,一般商品,盒,1,5,5,否
77,22,休闲,2203,膨化点心,220302,袋装薯片,20150102,201501,DW-2203020009,40g,一般商品,袋,1,3.3,3.3,否
