2,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
105,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010029,散称,生鲜,千克,1.082,2.77,2.56,否
124,12,蔬果,1203,水果,120303,梨类,20150102,201501,DW-1203030177,散称,生鲜,KG,1.796,5.71,3.18,否
87,20,粮油,2011,液体调料,201109,白醋,20150102,201501,DW-2011090002,500mL,一般商品,瓶,1,2.9,2.9,否
90,22,休闲,2202,糕点,220203,蛋卷,20150102,201501,DW-2202030010,60g,一般商品,袋,1,4,4.5,否
83,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150102,201501,DW-1301010076,散称,联营商品,kg,0.001,0.02,20,否
106,15,日配,1505,冷藏乳品,150506,冷藏原味鲜乳,20150102,201501,DW-1505060014,100g*8,一般商品,盒,1,9.9,15.9,是
112,23,酒饮,2306,运动机能饮料,230604,健康机能饮料,20150102,201501,DW-2306040039,1L,一般商品,瓶,1,6,6,否
103,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020037,散称,生鲜,千克,0.334,1.32,3.96,否
85,12,蔬果,1203,水果,120309,进口水果,20150102,201501,DW-1203090210,散称,生鲜,KG,0.618,10.88,17.6,否
114,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150102,201501,DW-1518130016,205g,一般商品,盒,12,49,5.5,是
109,12,蔬果,1203,水果,120302,苹果类,20150102,201501,DW-1203020162,散称,生鲜,KG,0.676,5.39,7.98,否
68,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150102,201501,DW-1505010100,80g*8,一般商品,袋,1,11.9,11.9,否
69,22,休闲,2201,饼干,220104,曲奇,20150102,201501,DW-2201040033,72g,一般商品,盒,1,5.7,5.7,否
107,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150102,201501,DW-1517010003,60g*10,一般商品,袋,1,16.3,16.3,否
68,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040026,散称,生鲜,千克,0.39,0.77,1.98,否
68,20,粮油,2013,调味酱,201304,色拉酱,20150102,201501,DW-2013040009,200g,一般商品,瓶,1,15.9,15.9,否
69,22,休闲,2203,膨化点心,220302,袋装薯片,20150102,201501,DW-2203020028,45g,一般商品,包,1,4,4,否
69,22,休闲,2208,口香糖,220801,无糖口香糖,20150102,201501,DW-2208010045,40粒,一般商品,瓶,1,10.4,10.4,否
70,15,日配,1515,冷冻火锅类,151503,火锅丸类,20150102,201501,DW-1515030007,散称,一般商品,千克,0.534,13.71,32.6,是
71,20,粮油,2007,南北干货,200706,红枣,20150102,201501,DW-2007060065,散称,一般商品,kg,0.35,6.93,37.8,是
106,21,冲调,2107,滋补营养品,210705,补钙/铁/锌,20150102,201501,DW-2107050044,100ml*5,一般商品,盒,1,81.9,81.9,否
106,22,休闲,2204,蜜饯,220403,梅,20150102,201501,DW-2204030327,40g,一般商品,袋,1,4.2,4.2,否
93,13,熟食,1308,现制中式面点,130801,现制蒸类,20150102,201501,DW-1308010192,个,生鲜,个,8,4,0.5,否
94,22,休闲,2204,蜜饯,220405,山楂,20150102,201501,DW-2204050010,115g,一般商品,袋,1,3.9,4.9,是
123,15,日配,1521,蛋类,152101,新鲜蛋品,20150102,201501,DW-1521010005,散称,一般商品,千克,0.94,6.37,6.78,否
82,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010023,散称,生鲜,千克,1.038,2.66,2.56,否
80,20,粮油,2010,食用油,201004,玉米油,20150102,201501,DW-2010040008,5L,一般商品,桶,1,87.9,87.9,否
76,22,休闲,2204,蜜饯,220402,枣,20150102,201501,DW-2204020061,150g,一般商品,袋,1,3.7,3.7,否
98,30,洗化,3016,纸制品,301608,软抽纸巾,20150102,201501,DW-3016080183,60抽*3,一般商品,提,1,6.9,6.9,否
109,23,酒饮,2317,进口饮料,231701,进口碳酸,20150102,201501,DW-2317010026,355ml,一般商品,罐,1,5.5,7.5,是
73,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150102,201501,DW-2303040064,380ml,一般商品,瓶,1,4.9,4.9,否
27,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020026,散称,生鲜,千克,0.352,0.9,2.56,否
77,22,休闲,2203,膨化点心,220305,粟米类,20150102,201501,DW-2203050023,40g,一般商品,袋,1,3.9,3.9,否
34,22,休闲,2204,蜜饯,220401,葡萄干,20150102,201501,DW-2204010005,150g,一般商品,袋,1,7.9,11.9,是
77,22,休闲,2201,饼干,220111,趣味/休闲,20150102,201501,DW-2201110155,60g,一般商品,盒,1,4.9,4.9,否
69,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150102,201501,DW-1517010003,60g*10,一般商品,袋,1,16.3,16.3,否
72,10,肉禽,1001,猪肉,100101,鲜猪肉,20150102,201501,DW-1001010196,散称,生鲜,千克,0.42,11.68,27.8,否
72,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040016,散称,生鲜,千克,0.752,1.2,1.6,否
80,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150102,201501,DW-2002010013,125g*5,一般商品,组,1,13.9,17.3,否
80,22,休闲,2208,口香糖,220801,无糖口香糖,20150102,201501,DW-2208010043,12片,一般商品,盒,1,5.2,5.2,否
76,20,粮油,2008,调味料,200803,鸡精,20150102,201501,DW-2008030025,200g,一般商品,袋,1,7.3,7.3,否
105,12,蔬果,1203,水果,120307,蕉类,20150102,201501,DW-1203070023,散称,生鲜,KG,0.892,8.9,9.98,否
89,20,粮油,2011,液体调料,201104,其他酱油,20150102,201501,DW-2011040005,500ml,一般商品,瓶,1,8.9,8.9,否
90,22,休闲,2201,饼干,220103,威化,20150102,201501,DW-2201030051,192g,一般商品,盒,1,14.9,14.9,否
90,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150102,201501,DW-2303040062,450g,一般商品,瓶,1,5,5,否
87,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010005,散称,生鲜,千克,0.23,1.33,5.8,否
87,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060002,散称,生鲜,千克,0.14,2.52,18,否
63,13,熟食,1308,现制中式面点,130803,现制烙类,20150102,201501,DW-1308030035,个,生鲜,个,4,4,1,否
121,20,粮油,2001,袋装速食面,200101,牛肉口味,20150102,201501,DW-2001010079,112g,一般商品,袋,1,2.5,2.5,否
110,34,针织,3432,鞋配件,343201,鞋垫,20150102,201501,DW-3432010123,230-270,一般商品,双,1,8,8,否
91,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010020, ,生鲜,包,1,4.98,4.98,否
105,12,蔬果,1203,水果,120303,梨类,20150102,201501,DW-1203030155,散称,生鲜,KG,1.27,15.21,11.98,否
105,20,粮油,2001,袋装速食面,200101,牛肉口味,20150102,201501,DW-2001010006,101g,一般商品,袋,1,3,3,否
126,20,粮油,2006,五谷杂粮,200605,饺子粉,20150102,201501,DW-2006050001,2.5kg,一般商品,袋,1,19.9,19.9,否
56,20,粮油,2005,煮食面/粉,200502,杂粮挂面,20150102,201501,DW-2005020002,600g,一般商品,袋,2,13.8,6.9,否
106,22,休闲,2206,即食熟制品,220602,猪肉干,20150102,201501,DW-2206020013,50g,一般商品,袋,1,8.9,8.9,否
124,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020008,散称,生鲜,千克,0.304,1.76,5.8,否
12,20,粮油,2007,南北干货,200704,蔬菜,20150102,201501,DW-2007040026,散称,一般商品,kg,0.346,6.85,19.8,否
83,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040008,散称,生鲜,千克,0.304,1.99,6.56,否
83,22,休闲,2207,糖果,220799,其他糖果,20150102,201501,DW-2207990065,5.5g,一般商品,袋,1,1,1,否
66,21,冲调,2104,冲饮品,210402,奶茶饮品,20150102,201501,DW-2104020024,80g,一般商品,杯,1,3,3,否
107,20,粮油,2003,桶杯装速食面,200301,牛肉口味,20150102,201501,DW-2003010065,114g,一般商品,桶,1,3.9,3.9,否
82,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010029,散称,生鲜,千克,1.184,1.87,2.56,否
114,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040026,散称,生鲜,千克,0.418,0.83,1.98,否
103,15,日配,1521,蛋类,152101,新鲜蛋品,20150102,201501,DW-1521010005,散称,一般商品,千克,1.756,11.91,6.78,否
64,12,蔬果,1203,水果,120307,蕉类,20150102,201501,DW-1203070022,散称,生鲜,KG,2.266,13.51,5.96,否
86,15,日配,1518,常温乳品,151803,利乐砖营养奶,20150102,201501,DW-1518030030,250ml*12,一般商品,提,1,59,76,是
63,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040010,散称,生鲜,千克,0.781,2.01,2.58,否
119,20,粮油,2011,液体调料,201111,料酒,20150102,201501,DW-2011110012,500mL,一般商品,瓶,1,5.9,5.9,否
70,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010004,散称,生鲜,千克,0.182,1.02,5.6,否
70,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020010,散称,生鲜,千克,0.454,1.73,3.8,否
74,20,粮油,2011,液体调料,201109,白醋,20150102,201501,DW-2011090007,500ml,一般商品,瓶,1,5.9,5.9,否
94,22,休闲,2201,饼干,220107,酥性,20150102,201501,DW-2201070017,80g,一般商品,袋,1,3.7,3.7,否
94,23,酒饮,2316,香烟,231601,国产省内香烟,20150102,201501,DW-2316010009,20支,一般商品,包,1,32,32,否
120,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150102,201501,DW-1518130016,205g,一般商品,盒,12,49,5.5,是
3,22,休闲,2209,巧克力,220999,其他巧克力,20150102,201501,DW-2209990038,散称,一般商品,kg,0.172,6.5,37.8,否
77,22,休闲,2201,饼干,220199,其他饼干,20150102,201501,DW-2201990008,47g,一般商品,盒,1,5.5,5.5,否
90,15,日配,1512,冷冻汤圆,151299,其它汤圆,20150102,201501,DW-1512990014,800g,一般商品,袋,1,14.3,14.3,否
90,23,酒饮,2307,乳饮料,230703,纯味酸乳饮,20150102,201501,DW-2307030002,245ml,一般商品,听,1,4.9,4.9,否
96,30,洗化,3006,洗衣用品,300601,洗衣粉,20150102,201501,DW-3006010428,1.03kg,一般商品,袋,1,10.9,10.9,否
83,22,休闲,2209,巧克力,220905,黑/纯巧克力,20150102,201501,DW-2209050058,156g,一般商品,盒,1,19.9,19.9,否
87,22,休闲,2205,炒货,220514,西瓜子,20150102,201501,DW-2205140047,150g,一般商品,袋,1,8.5,8.5,否
95,20,粮油,2011,液体调料,201102,生抽酱油,20150102,201501,DW-2011020005,800ml,一般商品,桶,1,6.9,6.9,否
127,30,洗化,3018,卫生巾,301801,日用卫生巾,20150103,201501,DW-3018010139,10片,一般商品,包,1,7.9,7.9,否
128,12,蔬果,1201,蔬菜,120101,叶菜,20150103,201501,DW-1201010004,散称,生鲜,千克,0.305,2.07,5.6,否
129,12,蔬果,1201,蔬菜,120102,根茎,20150103,201501,DW-1201020017,散称,生鲜,千克,0.718,1.84,2.56,否
129,12,蔬果,1201,蔬菜,120106,菌菇类,20150103,201501,DW-1201060004,散称,生鲜,千克,0.176,2.96,16.8,否
130,13,熟食,1308,现制中式面点,130803,现制烙类,20150103,201501,DW-1308030035,个,生鲜,个,2,2,1,否
131,22,休闲,2201,饼干,220107,酥性,20150103,201501,DW-2201070035,108g,一般商品,袋,1,3.7,3.7,否
132,22,休闲,2210,果冻,221004,立袋可吸果冻,20150103,201501,DW-2210040036,350g,一般商品,袋,1,3.3,3.3,否
131,20,粮油,2002,袋装速食面组,200202,猪肉口味,20150103,201501,DW-2002020018,125g*5,一般商品,组,1,21.8,21.8,否
132,22,休闲,2205,炒货,220513,香瓜子,20150103,201501,DW-2205130006,260g,一般商品,袋,1,8.7,8.7,否
133,12,蔬果,1201,蔬菜,120104,花果,20150103,201501,DW-1201040035,散称,生鲜,千克,0.22,2.11,9.6,否
134,23,酒饮,2301,碳酸饮料,230101,可乐型,20150103,201501,DW-2301010017,600ml,一般商品,瓶,1,2.8,2.8,否
135,12,蔬果,1201,蔬菜,120104,花果,20150103,201501,DW-1201040010,散称,生鲜,千克,1.066,2.75,2.58,否
135,22,休闲,2203,膨化点心,220304,薯条,20150103,201501,DW-2203040019,45g,一般商品,袋,1,3.3,3.3,否
136,15,日配,1521,蛋类,152101,新鲜蛋品,20150103,201501,DW-1521010005,散称,一般商品,千克,0.816,5.53,6.78,否
61,22,休闲,2207,糖果,220799,其他糖果,20150103,201501,DW-2207990018,散称,一般商品,千克,0.084,5.96,71,否
131,23,酒饮,2302,纯果汁,230201,纯柳橙汁,20150103,201501,DW-2302010006,255ml,一般商品,瓶,1,4.7,4.7,否
137,12,蔬果,1202,加工豆类,120205,豆类料理,20150103,201501,DW-1202058118,250g,生鲜,袋,1,5.8,5.8,否
137,33,文体,3319,笔类,331906,记号笔,20150103,201501,DW-3319060017,3171,一般商品,支,1,3.3,3.3,否
138,12,蔬果,1203,水果,120307,蕉类,20150103,201501,DW-1203070022,散称,生鲜,KG,2.216,13.21,5.96,否
139,22,休闲,2203,膨化点心,220302,袋装薯片,20150103,201501,DW-2203020016,80g,一般商品,袋,1,5.9,5.9,否
139,22,休闲,2209,巧克力,220902,夹心巧克力,20150103,201501,DW-2209020003,80g,一般商品,袋,1,5.3,5.3,否
140,22,休闲,2201,饼干,220106,钙奶,20150103,201501,DW-2201060004,240g,一般商品,袋,1,3.9,3.9,否
141,10,肉禽,1001,猪肉,100101,鲜猪肉,20150103,201501,DW-1001010196,散称,生鲜,千克,0.682,18.96,27.8,否
132,22,休闲,2203,膨化点心,220302,袋装薯片,20150103,201501,DW-2203020009,40g,一般商品,袋,1,3.3,3.3,否
132,22,休闲,2203,膨化点心,220302,袋装薯片,20150103,201501,DW-2203020029,45g,一般商品,袋,1,4,4,否
132,23,酒饮,2314,进口酒,231404,预调酒,20150103,201501,DW-2314040004,4.8%275ml,联营商品,瓶,1,10.5,10.5,否
142,20,粮油,2011,液体调料,201107,滴醋,20150103,201501,DW-2011070010,480mL,一般商品,瓶,1,3.8,3.8,否
143,12,蔬果,1203,水果,120309,进口水果,20150103,201501,DW-1203090210,散称,生鲜,KG,0.446,7.85,17.6,否
138,12,蔬果,1203,水果,120302,苹果类,20150103,201501,DW-1203020172,散称,生鲜,KG,1.55,18.57,11.98,否
128,30,洗化,3016,纸制品,301606,手帕纸,20150103,201501,DW-3016060149,10包,一般商品,提,1,3,3,否
140,20,粮油,2008,调味料,200806,香辛料,20150103,201501,DW-2008060027,20g,一般商品,袋,1,2.7,2.7,否
144,12,蔬果,1203,水果,120307,蕉类,20150103,201501,DW-1203070023,散称,生鲜,KG,0.984,9.82,9.98,否
145,15,日配,1521,蛋类,152101,新鲜蛋品,20150103,201501,DW-1521010005,散称,一般商品,千克,0.742,5.03,6.78,否
134,22,休闲,2207,糖果,220799,其他糖果,20150103,201501,DW-2207990034,30g,一般商品,瓶,1,4.5,4.5,否
141,10,肉禽,1004,鸡产品,100402,分割鸡件,20150103,201501,DW-1004020001,散称,生鲜,千克,0.254,9.09,35.8,否
146,22,休闲,2203,膨化点心,220303,罐装薯片,20150103,201501,DW-2203030074,105g,一般商品,罐,1,8.3,8.3,否
147,22,休闲,2211,进口食品,221101,进口休闲食品,20150103,201501,DW-2211011560,170g,联营商品,瓶,3,59.7,19.9,否
127,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150103,201501,DW-3018020104,10片,一般商品,包,1,7.9,9.9,是
148,30,洗化,3016,纸制品,301603,无芯纸,20150103,201501,DW-3016030007,10卷,一般商品,提,1,12.9,14.5,是
131,22,休闲,2201,饼干,220108,粗粮/蔬菜,20150103,201501,DW-2201080018,108g,一般商品,袋,1,3.7,3.7,否
132,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150103,201501,DW-1505040017,100ml*5,一般商品,组,1,11.5,11.5,否
132,22,休闲,2206,即食熟制品,220607,豆干类,20150103,201501,DW-2206070071,45g,一般商品,袋,1,2.5,2.5,否
115,31,家居,3118,打扫用品,311816,杂物筒,20150103,201501,DW-3118160011,1099,一般商品,个,1,4.5,4.5,否
17,22,休闲,2201,饼干,220110,简装/压缩,20150103,201501,DW-2201100015,散称,一般商品,KG,0.178,2.45,19.8,是
140,12,蔬果,1201,蔬菜,120104,花果,20150103,201501,DW-1201040010,散称,生鲜,千克,0.674,1.74,2.58,否
140,13,熟食,1308,现制中式面点,130801,现制蒸类,20150103,201501,DW-1308010191,散称,生鲜,千克,0.41,2.46,6,否
140,22,休闲,2201,饼干,220106,钙奶,20150103,201501,DW-2201060002,225g,一般商品,袋,1,4.7,4.7,否
134,22,休闲,2203,膨化点心,220399,其他膨化点心,20150103,201501,DW-2203990005,50g,一般商品,袋,1,2.7,2.7,否
149,30,洗化,3016,纸制品,301603,无芯纸,20150103,201501,DW-3016030007,10卷,一般商品,提,1,12.9,14.5,是
150,13,熟食,1308,现制中式面点,130803,现制烙类,20150103,201501,DW-1308030035,个,生鲜,个,2,2,1,否
151,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150103,201501,DW-1201070001,散称,生鲜,KG,0.908,4.54,5,否
151,20,粮油,2008,调味料,200803,鸡精,20150103,201501,DW-2008030004,200g,一般商品,袋,1,8.5,8.5,否
152,12,蔬果,1201,蔬菜,120106,菌菇类,20150103,201501,DW-1201060002,散称,生鲜,千克,0.198,3.56,18,否
139,12,蔬果,1203,水果,120301,柑桔柚类,20150103,201501,DW-1203010212,散称,生鲜,KG,1.074,7.5,6.98,否
140,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150103,201501,DW-2013060013,400g,一般商品,袋,1,3.7,3.7,否
137,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150103,201501,DW-1201070001,散称,生鲜,KG,0.71,3.55,5,否
153,15,日配,1510,冷冻水饺,151099,其它水饺,20150103,201501,DW-1510990001,500g,一般商品,袋,1,7.9,10.3,是
153,15,日配,1513,冷冻包子馒头,151302,咸馅包子,20150103,201501,DW-1513020022,720g,一般商品,袋,1,19.3,19.3,否
154,22,休闲,2201,饼干,220106,钙奶,20150103,201501,DW-2201060006,225g,一般商品,袋,1,3.7,3.7,否
155,30,洗化,3016,纸制品,301608,软抽纸巾,20150103,201501,DW-3016080114,200抽*3,一般商品,提,1,6.9,9.7,是
156,30,洗化,3016,纸制品,301603,无芯纸,20150103,201501,DW-3016030007,10卷,一般商品,提,1,12.9,14.5,是
151,20,粮油,2009,盐/糖,200907,功能糖,20150103,201501,DW-2009070023,350g,一般商品,袋,1,9.9,9.9,否
130,12,蔬果,1201,蔬菜,120101,叶菜,20150103,201501,DW-1201010029,散称,生鲜,千克,2.962,7.58,2.56,否
156,23,酒饮,2301,碳酸饮料,230102,原味型,20150103,201501,DW-2301020010,2.5L,一般商品,瓶,1,6.9,6.9,否
144,12,蔬果,1201,蔬菜,120102,根茎,20150103,201501,DW-1201020017,散称,生鲜,千克,0.658,1.68,2.56,否
154,12,蔬果,1201,蔬菜,120104,花果,20150103,201501,DW-1201040010,散称,生鲜,千克,0.786,2.03,2.58,否
151,20,粮油,2014,酱菜类,201404,蔬菜,20150103,201501,DW-2014040100,266g,一般商品,瓶,1,8.2,8.2,否
131,23,酒饮,2302,纯果汁,230203,纯苹果汁,20150103,201501,DW-2302030004,255ml,一般商品,瓶,1,5.7,5.7,否
146,22,休闲,2203,膨化点心,220302,袋装薯片,20150103,201501,DW-2203020281,45g,一般商品,袋,1,3.7,3.7,否
132,30,洗化,3007,洗浴用品,300702,功能性香皂,20150103,201501,DW-3007020009,85g,一般商品,块,1,1.9,1.9,否
133,15,日配,1521,蛋类,152101,新鲜蛋品,20150103,201501,DW-1521010005,散称,一般商品,千克,0.804,5.45,6.78,否
157,10,肉禽,1004,鸡产品,100402,分割鸡件,20150103,201501,DW-1004020003,散称,生鲜,千克,0.368,6.48,17.6,否
158,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150103,201501,DW-2013060013,400g,一般商品,袋,1,3.7,3.7,否
12,10,肉禽,1001,猪肉,100104,猪骨,20150103,201501,DW-1001040135,散称,生鲜,千克,1.184,30.31,25.6,否
159,12,蔬果,1203,水果,120303,梨类,20150103,201501,DW-1203030177,散称,生鲜,KG,1.696,5.39,3.18,否
134,22,休闲,2201,饼干,220111,趣味/休闲,20150103,201501,DW-2201110061,33g,一般商品,盒,1,4.5,4.5,否
160,20,粮油,2006,五谷杂粮,200602,袋装白米,20150103,201501,DW-2006020105,10kg,一般商品,袋,1,41.9,49.9,是
151,20,粮油,2014,酱菜类,201405,腐乳,20150103,201501,DW-2014050016,295g,一般商品,瓶,1,7.9,7.9,否
137,22,休闲,2203,膨化点心,220302,袋装薯片,20150103,201501,DW-2203020257,51g,一般商品,袋,1,2.5,2.5,否
87,20,粮油,2011,液体调料,201111,料酒,20150103,201501,DW-2011110012,500mL,一般商品,瓶,1,5.9,5.9,否
151,30,洗化,3016,纸制品,301606,手帕纸,20150103,201501,DW-3016060140,6包,一般商品,包,1,2.9,2.9,否
154,12,蔬果,1201,蔬菜,120104,花果,20150103,201501,DW-1201040035,散称,生鲜,千克,0.228,2.19,9.6,否
154,12,蔬果,1201,蔬菜,120106,菌菇类,20150103,201501,DW-1201060010,散称,生鲜,千克,0.34,3.06,9,否
161,22,休闲,2212,无糖食品,221202,无糖休闲食品,20150103,201501,DW-2212020340,250g,一般商品,袋,1,20,20,否
162,22,休闲,2211,进口食品,221101,进口休闲食品,20150103,201501,DW-2211011598,112g,联营商品,袋,1,12,12,否
162,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150103,201501,DW-3018020272,10片,一般商品,包,1,6.7,6.7,否
131,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150103,201501,DW-2303040047,180ml,一般商品,瓶,20,70,3.5,否
133,12,蔬果,1201,蔬菜,120101,叶菜,20150103,201501,DW-1201010005,散称,生鲜,千克,0.372,2.16,5.8,否
140,12,蔬果,1201,蔬菜,120102,根茎,20150103,201501,DW-1201020017,散称,生鲜,千克,1.168,2.99,2.56,否
163,15,日配,1501,冷藏肉制品,150101,香肠类,20150103,201501,DW-1501010130,240g,一般商品,袋,1,11.5,16.5,是
17,12,蔬果,1201,蔬菜,120102,根茎,20150103,201501,DW-1201020017,散称,生鲜,千克,1.327,3.4,2.56,否
17,22,休闲,2202,糕点,220208,散称糕点,20150103,201501,DW-2202080014,散称,一般商品,KG,0.21,3.3,23.8,是
164,15,日配,1511,冷冻馄饨,151199,其它馄饨,20150103,201501,DW-1511990002,260g,一般商品,袋,1,7.3,7.3,否
165,12,蔬果,1203,水果,120309,进口水果,20150103,201501,DW-1203090210,散称,生鲜,KG,1.206,21.23,17.6,否
151,12,蔬果,1201,蔬菜,120101,叶菜,20150103,201501,DW-1201010029,散称,生鲜,千克,1.732,4.43,2.56,否
151,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150103,201501,DW-3018020277,4片,一般商品,包,1,5.6,6.3,是
166,22,休闲,2207,糖果,220709,玩具糖,20150103,201501,DW-2207090093,12g,一般商品,盒,1,1,1,否
167,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150103,201501,DW-1517010003,60g*10,一般商品,袋,1,13.9,16.3,是
87,20,粮油,2011,液体调料,201105,香醋,20150103,201501,DW-2011050004,500ml,一般商品,瓶,1,6.7,6.7,否
154,22,休闲,2206,即食熟制品,220607,豆干类,20150103,201501,DW-2206070072,散称,一般商品,千克,0.638,37.64,59,否
158,20,粮油,2014,酱菜类,201405,腐乳,20150103,201501,DW-2014050037,335g,一般商品,瓶,1,6.5,6.7,否
168,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150103,201501,DW-1517010003,60g*10,一般商品,袋,1,13.9,16.3,是
169,15,日配,1521,蛋类,152101,新鲜蛋品,20150103,201501,DW-1521010005,散称,一般商品,千克,1.868,12.67,6.78,否
127,12,蔬果,1201,蔬菜,120101,叶菜,20150103,201501,DW-1201010004,散称,生鲜,千克,0.538,3.01,5.6,否
128,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150103,201501,DW-1201090032,散称,生鲜,千克,0.318,2.07,7.96,否
128,30,洗化,3006,洗衣用品,300601,洗衣粉,20150103,201501,DW-3006010311,455g,一般商品,袋,1,4.9,4.9,否
129,13,熟食,1302,卤制熟食,130201,卤制畜类,20150103,201501,DW-1302010078,散称,联营商品,kg,0.142,12.78,90,否
